Rainfall,Temperature,Fertilizer,Pesticide,Yield
1326,33,237,2.38,11.23
1659,16,241,3.01,11.52
1060,34,137,9.62,7.83
1494,39,158,6.16,9.83
1330,20,212,9.39,9.04
1295,15,289,6.18,10.16
1924,38,119,5.31,10.91
1244,29,260,3.82,11.28
1838,37,207,6.46,11.54
321,24,248,2.25,8.22
666,33,123,9.08,6.06
1438,31,282,8.46,11.81
530,19,273,3.86,8.49
1682,18,275,9.58,11.21
287,24,112,8.43,4.12
1596,38,205,7.0,10.98
1323,31,109,2.1,8.28
1071,24,128,5.3,7.95
1887,31,271,5.55,12.57
330,34,86,3.09,4.76
1885,38,270,1.72,13.54
1532,19,71,7.99,6.8
969,16,245,2.1,8.11
543,20,197,6.35,5.86
1715,35,145,9.43,9.77
1637,16,277,8.88,10.2
1005,27,291,3.5,10.04
585,25,117,8.66,4.59
1415,25,268,1.0,11.08
1155,30,241,1.16,10.93
476,25,66,6.42,4.58
1384,33,61,4.28,8.54
659,29,199,4.48,8.77
1537,39,194,6.08,11.4
221,37,187,2.73,7.6
452,37,167,2.91,7.43
947,30,242,5.36,9.8
1056,25,71,7.79,6.78
1784,36,267,6.58,13.1
674,30,169,3.68,8.01
1282,22,300,4.87,10.65
710,18,259,2.54,8.16
1905,22,99,1.67,9.44
1699,18,63,8.04,7.07
899,38,241,3.39,9.91
1175,39,224,2.6,12.07
389,17,78,7.22,3.45
1157,17,253,6.56,9.01
886,32,213,6.7,8.88
1157,40,300,3.06,12.38
762,33,276,3.09,10.23
1790,33,229,2.99,11.49
1467,35,174,2.56,11.07
1031,19,253,6.9,9.66
1728,32,56,8.63,8.74
1354,24,78,7.52,6.95
1708,36,188,8.13,11.28
846,35,82,4.64,6.08
220,20,183,6.89,5.65
1040,15,160,4.19,7.23
366,19,128,5.73,4.37
1497,23,209,5.33,10.41
587,26,228,2.59,8.59
800,40,252,4.48,10.22
515,28,107,9.67,5.18
213,16,264,3.24,6.36
441,31,75,2.2,5.7
976,28,275,4.77,9.74
1569,40,223,8.11,11.2
764,27,275,6.24,9.36
1097,23,78,7.13,6.54
1563,40,53,2.71,9.23
291,39,258,6.57,8.49
1590,29,148,3.91,10.05
1155,39,190,8.51,8.69
1678,36,282,6.66,12.53
1651,29,88,2.79,8.4
708,38,64,1.58,6.91
975,25,168,1.38,8.47
234,30,78,4.34,4.32
405,31,206,3.39,7.62
1304,40,124,6.81,9.7
1785,18,165,5.49,9.46
1611,15,81,3.39,6.66
1225,22,179,2.34,9.32
1221,31,224,2.14,10.5
1613,17,255,8.78,10.9
765,34,133,3.19,7.33
1329,29,71,6.87,6.62
1995,29,252,8.3,12.72
1700,38,76,6.53,9.01
902,36,244,8.74,9.68
601,28,130,4.53,7.0
929,40,175,9.61,7.98
1779,37,285,2.2,13.92
361,28,233,1.92,7.38
401,38,141,6.93,5.07
1195,16,270,9.49,9.29
469,27,70,8.28,4.15
1015,40,96,1.69,8.31
1494,28,257,3.51,11.4
655,38,150,9.37,6.32
1685,33,236,3.28,11.68
1950,21,133,8.03,10.05
1475,17,55,8.43,5.62
1216,29,196,5.46,10.13
1925,37,234,4.48,13.49
495,28,246,5.05,7.98
1948,25,180,3.04,10.78
919,29,300,9.0,10.7
1972,27,50,5.06,8.45
537,32,107,8.94,4.64
1078,40,173,1.95,9.98
1276,20,215,9.89,8.95
991,17,64,4.99,5.68
416,33,211,1.43,8.14
963,29,238,1.34,9.56
387,39,212,7.72,8.38
579,37,113,6.93,6.95
692,19,290,8.22,8.69
1264,24,74,1.95,7.03
1380,21,73,1.32,6.49
214,39,61,5.58,4.12
264,31,67,4.49,4.54
720,21,64,5.16,4.33
1567,36,285,9.92,11.56
1352,40,257,9.74,13.17
847,26,76,9.48,4.46
1695,39,121,8.05,10.95
1286,31,109,4.19,7.95
1362,27,223,4.71,10.19
1722,34,266,5.95,12.27
792,39,194,8.47,8.92
591,18,142,1.62,5.17
1898,24,102,4.82,8.25
618,17,57,1.74,4.99
488,23,128,5.63,4.9
578,27,76,9.09,4.88
1996,32,223,8.04,11.66
1713,29,99,3.05,9.49
430,18,293,9.78,8.45
1217,29,248,7.01,9.97
240,36,180,1.09,6.12
1251,16,142,3.3,8.39
334,29,241,3.35,8.27
400,22,221,1.62,6.98
979,22,230,9.64,8.22
1129,31,73,5.3,6.24
1256,26,109,9.06,7.83
1271,33,171,3.9,9.22
702,24,180,2.13,6.7
606,23,197,5.27,7.18
1797,19,95,2.03,8.18
1951,20,64,5.37,7.68
1004,34,202,9.28,8.63
298,40,271,5.69,8.99
883,16,255,6.55,7.68
925,38,248,2.41,11.23
1770,27,66,1.39,8.99
1160,20,175,2.0,8.2
1962,19,285,6.39,12.02
812,39,133,1.86,7.99
1685,15,277,4.38,11.81
842,35,58,5.95,6.26
1992,36,215,4.5,13.24
1228,35,225,2.47,10.5
1441,20,298,3.46,10.07
702,20,237,9.35,8.13
966,37,112,7.08,7.31
597,30,263,5.46,9.24
1070,18,295,1.11,11.27
994,25,294,9.93,11.09
592,38,166,7.04,7.11
406,37,179,3.85,7.44
1238,23,137,8.91,8.09
1777,37,121,3.33,9.96
1091,17,188,5.9,7.51
1684,33,113,6.72,8.99
1914,22,254,2.99,12.27
1798,19,258,9.81,10.98
1063,18,121,7.73,5.98
942,38,70,6.02,6.18
1464,20,67,2.63,7.47
763,16,271,1.48,9.51
1220,34,113,3.88,8.99
295,25,131,7.78,4.49
1957,18,159,3.42,10.58
684,29,288,5.86,9.66
1630,20,144,7.55,8.33
430,36,215,1.97,8.64
948,31,81,7.17,5.92
1878,38,60,1.83,9.5
1394,20,94,9.69,6.0
740,33,266,5.4,9.41
1259,39,82,2.36,8.43
724,16,151,4.08,6.85
1383,29,218,4.72,10.18
1922,25,185,7.82,10.16
1466,22,60,7.69,7.34
1309,40,263,6.51,11.48
777,33,228,1.95,8.46
881,27,137,2.36,7.37
756,26,90,1.84,5.8
1797,19,194,6.19,11.32
1212,20,125,8.89,7.08
845,40,170,4.9,8.57
995,36,95,2.45,7.06
1251,18,209,6.02,8.94
1843,33,256,8.31,13.19
1779,34,129,7.68,10.02
1563,15,103,8.93,6.63
1554,34,135,3.5,10.0
1863,31,141,2.75,10.59
1729,26,197,8.92,10.54
1571,29,210,6.92,10.36
1696,15,251,3.8,10.74
1454,40,217,7.68,10.93
389,28,209,8.34,7.22
1448,20,291,6.53,10.93
1608,19,146,7.19,8.32
1600,25,51,4.38,6.91
1506,18,274,5.85,11.08
832,27,82,5.72,5.88
827,25,282,8.63,9.03
1172,17,254,8.56,8.75
1968,15,207,8.49,11.33
1482,20,210,1.1,9.2
1582,32,126,7.75,9.3
909,38,165,7.83,8.93
1679,24,203,7.11,8.61
1634,19,199,7.81,10.02
